Page URL,Source,Followers,Date,Time,Time Zone,Post Type,Interactions,Post Message,Post Link
Facebook.com/Txrebels,Heart of Texas,235294,2017-07-08,19:00:00 , GMT-0400,Facebook,7335,,https://www.facebook.com/txrebels/posts/1274943259294161
Facebook.com/Txrebels,Heart of Texas,225116,2017-06-12,16:00:00 , GMT-0400,Facebook,7287,,https://www.facebook.com/txrebels/posts/1248370905284730
Facebook.com/Txrebels,Heart of Texas,194098,2017-03-22,18:00:00 , GMT-0400,Facebook,7254,,https://www.facebook.com/txrebels/posts/1165813703540451
Facebook.com/Txrebels,Heart of Texas,163007,2016-12-21,17:00:00 , GMT-0500,Facebook,7200,,https://www.facebook.com/txrebels/posts/1080288625426293
Facebook.com/Txrebels,Heart of Texas,236610,2017-07-11,20:07:00 , GMT-0400,Facebook,7189,,https://www.facebook.com/txrebels/posts/1281927961929024
Facebook.com/Txrebels,Heart of Texas,180581,2017-02-14,18:00:04 , GMT-0500,Facebook,7174,,https://www.facebook.com/txrebels/posts/1132252163563272
Facebook.com/Txrebels,Heart of Texas,200009,2017-03-31,15:57:00 , GMT-0400,Facebook,7145,,https://www.facebook.com/txrebels/posts/1173076412814180
Facebook.com/Txrebels,Heart of Texas,192345,2017-03-15,19:30:00 , GMT-0400,Facebook,7065,,https://www.facebook.com/txrebels/posts/1159481027507052
Facebook.com/Txrebels,Heart of Texas,201527,2017-04-07,20:09:00 , GMT-0400,Facebook,6993,,https://www.facebook.com/txrebels/posts/1173087569479731
Facebook.com/Txrebels,Heart of Texas,200009,2017-03-31,20:19:19 , GMT-0400,Facebook,6987,,https://www.facebook.com/txrebels/posts/1173077339480754
Facebook.com/Txrebels,Heart of Texas,168107,2017-01-05,18:30:01 , GMT-0500,Facebook,6986,,https://www.facebook.com/txrebels/posts/1084825331639289
Facebook.com/Txrebels,Heart of Texas,169672,2017-01-10,17:00:00 , GMT-0500,Facebook,6980,,https://www.facebook.com/txrebels/posts/1096562287132260
Facebook.com/Txrebels,Heart of Texas,214709,2017-04-28,16:00:00 , GMT-0400,Facebook,6866,,https://www.facebook.com/txrebels/posts/1207797256008762
Facebook.com/Txrebels,Heart of Texas,166820,2017-01-01,15:54:00 , GMT-0500,Facebook,6856,,https://www.facebook.com/txrebels/posts/1080293202092502
Facebook.com/Txrebels,Heart of Texas,194687,2017-03-24,16:00:00 , GMT-0400,Facebook,6797,,https://www.facebook.com/txrebels/posts/1167854793336342
Facebook.com/Txrebels,Heart of Texas,168668,2017-01-06,18:30:00 , GMT-0500,Facebook,6771,,https://www.facebook.com/txrebels/posts/1084826874972468
Facebook.com/Txrebels,Heart of Texas,166820,2017-01-01,18:30:00 , GMT-0500,Facebook,6743,,https://www.facebook.com/txrebels/posts/1081143182007504
Facebook.com/Txrebels,Heart of Texas,173373,2017-01-25,18:02:03 , GMT-0500,Facebook,6712,,https://www.facebook.com/txrebels/posts/1112078918913930
Facebook.com/Txrebels,I Love Texas,359630,2017-03-26,14:16:21 , GMT-0400,Facebook,6693,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1235856943150344
Facebook.com/Txrebels,Heart of Texas,186855,2017-03-02,18:00:00 , GMT-0500,Facebook,6614,,https://www.facebook.com/txrebels/posts/1146906175431204
Facebook.com/Txrebels,Heart of Texas,221476,2017-05-26,16:28:00 , GMT-0400,Facebook,6599,,https://www.facebook.com/txrebels/posts/1231120853676402
Facebook.com/Txrebels,Heart of Texas,223079,2017-06-04,18:09:00 , GMT-0400,Facebook,6597,,https://www.facebook.com/txrebels/posts/1239916082796879
Facebook.com/Txrebels,Heart of Texas,160428,2016-12-13,13:12:01 , GMT-0500,Facebook,6582,,https://www.facebook.com/txrebels/posts/1072897776165378
Facebook.com/Txrebels,Heart of Texas,167821,2017-01-04,18:00:00 , GMT-0500,Facebook,6535,,https://www.facebook.com/txrebels/posts/1084078908380598
Facebook.com/Txrebels,Heart of Texas,198622,2017-03-28,19:32:00 , GMT-0400,Facebook,6491,,https://www.facebook.com/txrebels/posts/1171929192928902
Facebook.com/Txrebels,Heart of Texas,183464,2017-02-22,17:30:00 , GMT-0500,Facebook,6480,,https://www.facebook.com/txrebels/posts/1138880602900428
Facebook.com/Txrebels,Heart of Texas,244433,2017-08-02,11:00:00 , GMT-0400,Facebook,6439,,https://www.facebook.com/txrebels/posts/1305167432938410
Facebook.com/Txrebels,Heart of Texas,183464,2017-02-22,19:00:01 , GMT-0500,Facebook,6423,,https://www.facebook.com/txrebels/posts/1138881909566964
Facebook.com/Txrebels,Heart of Texas,245082,2017-08-05,18:30:00 , GMT-0400,Facebook,6413,,https://www.facebook.com/txrebels/posts/1307216012733552
Facebook.com/Txrebels,Heart of Texas,238913,2017-07-16,20:12:00 , GMT-0400,Facebook,6400,,https://www.facebook.com/txrebels/posts/1285048148283672
